scenario,pc_index,pc_name,n_sigma,shock_1y_bps,risky_clean,risky_clean_pct,delta_eur,delta_pct_par,leveraged_frn_pv,collared_coupon_pv,long_floor_pv,short_cap_pv,net_option_pv,par_redemption_pv,risk_free_dirty,cva,risky_dirty,accrued_interest
Level (PC1) -2σ,1,Level (PC1),-2,-15.455118448555774,1040.0018730062009,104.00018730062008,-15.104669965837502,-1.51046699658375,278.22822945022006,277.4092792719321,7.62294222377433,26.58198105892825,-18.95903883515392,826.9461089867256,1104.3553882586577,59.57409303023483,1044.781295228423,4.779422222222222
Level (PC1) -1σ,1,Level (PC1),-1,-7.727559224277887,1048.00385160809,104.80038516080899,-7.102691363948452,-0.7102691363948451,297.78561922104893,297.78561922104893,4.533581416392252,27.811156015685675,-23.277574599293423,814.5129634364735,1112.2985826575223,59.51530882721016,1052.783273830312,4.779422222222222
Level (PC1) +1σ,1,Level (PC1),1,7.727559224277887,1061.3061622143596,106.13061622143596,6.199619242321205,0.6199619242321205,336.0531487317766,335.2226263804486,2.4500577762116382,38.644374028282385,-36.19431625207075,790.1846289254348,1125.4072553058834,59.321670869301755,1066.0855844365817,4.779422222222222
Level (PC1) +2σ,1,Level (PC1),2,15.455118448555774,1057.2352771588646,105.72352771588646,2.12873418682625,0.212873418682625,354.7720030906491,342.5803235809354,2.373390240522534,49.168320279193004,-46.79493003867047,778.283912375333,1120.8642359562684,58.84953657518169,1062.0146993810868,4.779422222222222
Slope (PC2) -2σ,2,Slope (PC2),-2,-10.958916375014704,1057.8571604278045,105.78571604278044,2.7506174557661325,0.2750617455766133,324.90980982928596,324.90980982928596,2.504355247551184,35.97281888559128,-33.4684636380401,797.3308767321977,1122.2406865614837,59.60410391145714,1062.6365826500266,4.779422222222222
Slope (PC2) -1σ,2,Slope (PC2),-1,-5.479458187507352,1056.482145369255,105.6482145369255,1.3756023972166531,0.1375602397216653,320.9852734539746,320.9852734539746,2.762410588396167,33.69348474201195,-30.93107415361578,799.7949538177246,1120.7802272716992,59.51865968022202,1061.2615675914772,4.779422222222222
Slope (PC2) +1σ,2,Slope (PC2),1,5.479458187507352,1053.730349670127,105.37303496701269,-1.3761933019113712,-0.13761933019113712,313.131361915466,313.131361915466,3.397299088198658,29.652003589124543,-26.254704500925886,804.7262191756201,1117.857581091086,59.34780919873689,1058.5097718923491,4.779422222222222
Slope (PC2) +2σ,2,Slope (PC2),2,10.958916375014704,1052.3535619043585,105.23535619043585,-2.7529810676799116,-0.27529810676799116,309.2019662006281,309.2019662006281,3.7832374644751567,27.877181748910647,-24.09394428443549,807.1934203323221,1116.3953865329502,59.26240240636953,1057.1329841265806,4.779422222222222
Curvature (PC3) -2σ,3,Curvature (PC3),-2,-7.260817923427083,1054.648642235285,105.4648642235285,-0.457900736753345,-0.0457900736753345,315.5421683319105,315.5421683319105,3.271026351333939,30.743738686371838,-27.472712335037897,803.2512740587694,1118.79344239068,59.365377933172724,1059.4280644575072,4.779422222222222
Curvature (PC3) -1σ,3,Curvature (PC3),-1,-3.6304089617135413,1054.8775413090136,105.48775413090137,-0.22900166302474645,-0.022900166302474646,316.3004999688187,316.3004999688187,3.156188977835359,31.13042595498962,-27.97423697715426,802.7557603149957,1119.0562602838145,59.39929675257865,1059.6569635312358,4.779422222222222
Curvature (PC3) +1σ,3,Curvature (PC3),1,3.6304089617135413,1055.335647341232,105.5335647341232,0.22910436919369204,0.0229104369193692,317.81805153360466,317.81805153360466,2.9791628085507367,32.11683220355459,-29.13766939500385,801.7641903216859,1119.5822418552905,59.46717229183623,1060.1150695634542,4.779422222222222
Curvature (PC3) +2σ,3,Curvature (PC3),2,7.260817923427083,1055.5648545335996,105.55648545335995,0.45831156156123143,0.04583115615612314,318.57727221231096,318.57727221231096,2.9187283568962097,32.7134275247688,-29.794699167872587,801.2681335894981,1119.8454058018092,59.501129045987454,1060.3442767558217,4.779422222222222
