scenario,pc_index,n_sigma,delta_bond,delta_swap_2y,delta_swap_10y,delta_portfolio,reduction_pct
Level (PC1) -2σ,1,-2,-15.1047,1.0636,13.2636,-0.7774,94.85
Level (PC1) -1σ,1,-1,-7.1027,0.5309,6.5767,0.0049,99.93
Level (PC1) +1σ,1,1,6.1996,-0.529,-6.4684,-0.7978,87.13
Level (PC1) +2σ,1,2,2.1287,-1.0562,-12.8304,-11.7579,-452.34
Slope (PC2) -2σ,2,-2,2.7506,0.5252,-3.271,0.0048,99.82
Slope (PC2) -1σ,2,-1,1.3756,0.2624,-1.6368,0.0012,99.91
Slope (PC2) +1σ,2,1,-1.3762,-0.2619,1.6393,0.0012,99.91
Slope (PC2) +2σ,2,2,-2.753,-0.5232,3.281,0.0048,99.83
Curvature (PC3) -2σ,3,-2,-0.4579,0.0119,1.6347,1.1887,-159.6
Curvature (PC3) -1σ,3,-1,-0.229,0.006,0.8173,0.5942,-159.48
Curvature (PC3) +1σ,3,1,0.2291,-0.006,-0.8171,-0.5939,-159.24
Curvature (PC3) +2σ,3,2,0.4583,-0.0119,-1.6339,-1.1875,-159.11
