pc1_nsig,pc2_nsig,pc3_nsig,cds_bump,f_level,f_slope,f_curvature,f_cds,delta_gp,fitted,residual
-2,0,0,0,-97.7807,0.0,0.0,0,-15.10467,-11.246112,-3.858558
-1,0,0,0,-48.8903,0.0,0.0,0,-7.102691,-5.873775,-1.228916
-1,0,0,-10,-48.8903,0.0,0.0,-10,0.486254,1.655476,-1.169222
-1,0,0,10,-48.8903,0.0,0.0,10,-14.5892,-13.403026,-1.186174
-0.5,0,0,0,-24.4452,0.0,0.0,0,-3.538698,-3.187618,-0.35108
0,-2,0,0,0.0,-24.1995,0.0,0,2.750617,2.250364,0.500253
0,-1,0,0,0.0,-12.0998,0.0,0,1.375602,0.874463,0.501139
0,-1,0,-10,0.0,-12.0998,0.0,-10,8.96662,8.403714,0.562906
0,-1,0,10,0.0,-12.0998,0.0,10,-6.113446,-6.654788,0.541342
0,0,-2,0,0.0,0.0,-10.3887,0,-0.457901,-0.959557,0.501656
0,0,-1,0,0.0,0.0,-5.1943,0,-0.229002,-0.730501,0.501499
0,0,0,0,0.0,0.0,0.0,0,0.0,-0.501449,0.501449
0,0,0,-25,0.0,0.0,0.0,-25,19.143841,18.321678,0.822163
0,0,0,-10,0.0,0.0,0.0,-10,7.579863,7.027802,0.552061
0,0,0,-5,0.0,0.0,0.0,-5,3.777105,3.263176,0.513929
0,0,0,5,0.0,0.0,0.0,5,-3.751631,-4.266075,0.514444
0,0,0,10,0.0,0.0,0.0,10,-7.477966,-8.030701,0.552735
0,0,0,25,0.0,0.0,0.0,25,-18.50693,-19.324577,0.817647
0,0,1,0,0.0,0.0,5.1943,0,0.229104,-0.272398,0.501502
0,0,2,0,0.0,0.0,10.3887,0,0.458312,-0.043342,0.501654
0,1,0,0,0.0,12.0998,0.0,0,-1.376193,-1.877362,0.501169
0,1,0,-10,0.0,12.0998,0.0,-10,6.192516,5.651889,0.540627
0,1,0,10,0.0,12.0998,0.0,10,-8.843078,-9.406613,0.563535
0,2,0,0,0.0,24.1995,0.0,0,-2.752981,-3.253263,0.500282
0.5,0,0,0,24.4452,0.0,0.0,0,3.513598,2.184719,1.328879
1,0,0,0,48.8903,0.0,0.0,0,6.199619,4.870876,1.328743
1,0,0,-10,48.8903,0.0,0.0,-10,13.766553,12.400128,1.366425
1,0,0,10,48.8903,0.0,0.0,10,-1.265984,-2.658375,1.392391
2,0,0,0,97.7807,0.0,0.0,0,2.128734,10.243213,-8.114479
