metric,value
n_simulations,100000
confidence_level,0.99
horizon_days,21
seed,42
sigma_pc1_bps,48.8903
sigma_pc2_bps,12.0998
sigma_pc3_bps,5.1943
sigma_cds_bps,13.7477
beta_level,0.109885
beta_slope,-0.113714
beta_curvature,0.044097
beta_cds,-0.752925
portfolio_sigma_eur,11.7452
var_99_eur,27.3391
es_99_eur,31.3850
pnl_mean,-0.025978
pnl_std,11.7533
pnl_skew,0.0048
pnl_kurtosis,-0.0021
pnl_min,-52.4349
pnl_max,49.8425
var_pct_level,20.92
var_pct_slope,1.37
var_pct_curvature,0.04
var_pct_cds,77.67
