maturity_date,years,discount_factor
2025-12-05,0.0822,0.99851347
2026-01-05,0.1671,0.9967489
2026-02-05,0.2521,0.99497424
2026-03-05,0.3288,0.99325282
2026-04-07,0.4192,0.99120408
2026-05-05,0.4959,0.98946906
2026-06-05,0.5808,0.98772996
2026-07-06,0.6658,0.98600618
2026-08-05,0.7479,0.98434088
2026-09-07,0.8384,0.9825123
2026-10-05,0.9151,0.98096344
2026-11-05,1.0,0.97925147
2026-12-07,1.0877,0.97743129
2027-01-05,1.1671,0.97577742
2027-02-05,1.2521,0.97401258
2027-03-05,1.3288,0.97242128
2027-04-05,1.4137,0.97066252
2027-05-05,1.4959,0.96896351
2027-06-07,1.5863,0.96709805
2027-07-05,1.663,0.96551804
2027-08-05,1.7479,0.96377176
2027-09-06,1.8356,0.96197246
2027-10-05,1.9151,0.96034475
2027-11-05,2.0,0.95860782
2027-12-06,2.0849,0.95677482
2028-01-05,2.1671,0.95499402
2028-02-07,2.2575,0.95303897
2028-03-06,2.3342,0.95138328
2028-04-05,2.4164,0.94961251
2028-05-05,2.4986,0.94784504
2028-06-05,2.5836,0.94602211
2028-07-05,2.6658,0.94426133
2028-08-07,2.7562,0.94232824
2028-09-05,2.8356,0.94063274
2028-10-05,2.9178,0.93888199
2028-11-06,3.0055,0.93701811
2028-12-05,3.0849,0.93514482
2029-01-05,3.1699,0.93313935
2029-02-05,3.2548,0.93113819
2029-03-05,3.3315,0.92933437
2029-04-05,3.4164,0.92734136
2029-05-07,3.5041,0.92528854
2029-06-05,3.5836,0.92343211
2029-07-05,3.6658,0.92151557
2029-08-06,3.7534,0.91947565
2029-09-05,3.8356,0.91756733
2029-10-05,3.9178,0.91566297
2029-11-05,4.0027,0.91369928
2029-12-05,4.0849,0.91174805
2030-01-07,4.1753,0.90960221
2030-02-05,4.2548,0.90772065
2030-03-05,4.3315,0.90590766
2030-04-05,4.4164,0.90390464
2030-05-06,4.5014,0.90190605
2030-06-05,4.5836,0.89997614
2030-07-05,4.6658,0.89805036
2030-08-05,4.7507,0.89606472
2030-09-05,4.8356,0.89408346
2030-10-07,4.9233,0.89204289
2030-11-05,5.0027,0.89019765
2030-12-05,5.0849,0.88820661
2031-01-06,5.1726,0.88608119
2031-02-05,5.2548,0.88409323
2031-03-05,5.3315,0.88224183
2031-04-07,5.4219,0.88006479
2031-05-05,5.4986,0.87822182
2031-06-05,5.5836,0.8761859
2031-07-07,5.6712,0.87408924
2031-08-05,5.7507,0.87219349
2031-09-05,5.8356,0.87017153
2031-10-06,5.9205,0.86815427
2031-11-05,6.0027,0.86620653
2031-12-05,6.0849,0.86418089
2032-01-05,6.1699,0.86208665
2032-02-05,6.2548,0.85999749
2032-03-05,6.3342,0.85804769
2032-04-05,6.4192,0.85596831
2032-05-05,6.5014,0.85396081
2032-06-07,6.5918,0.851758
2032-07-05,6.6685,0.8498934
2032-08-05,6.7534,0.84783378
2032-09-06,6.8411,0.84571296
2032-10-05,6.9205,0.84379555
2032-11-05,7.0055,0.84175072
2032-12-06,7.0904,0.83964307
2033-01-05,7.1726,0.83760142
2033-02-07,7.263,0.83536134
2033-03-07,7.3397,0.83346537
2033-04-05,7.4192,0.83150622
2033-05-05,7.5014,0.82948436
2033-06-06,7.589,0.82733313
2033-07-05,7.6685,0.8253884
2033-08-05,7.7534,0.8233146
2033-09-05,7.8384,0.82124601
2033-10-05,7.9205,0.8192491
2033-11-07,8.011,0.8170581
2033-12-05,8.0877,0.81513345
2034-01-05,8.1726,0.81300787
2034-02-06,8.2603,0.81081953
2034-03-06,8.337,0.80890957
2034-04-05,8.4192,0.80686817
2034-05-05,8.5014,0.80483193
2034-06-05,8.5863,0.80273321
2034-07-05,8.6685,0.8007074
2034-08-07,8.7589,0.79848492
2034-09-05,8.8384,0.79653692
2034-10-05,8.9205,0.79452675
2034-11-06,9.0082,0.79238816
2034-12-05,9.0877,0.79052568
2035-01-05,9.1726,0.78854228
2035-02-05,9.2575,0.78656387
2035-03-05,9.3342,0.78478117
2035-04-05,9.4192,0.78281219
2035-05-07,9.5068,0.78078487
2035-06-05,9.5863,0.77895215
2035-07-05,9.6685,0.77706076
2035-08-06,9.7562,0.77504834
2035-09-05,9.8384,0.77316643
2035-10-05,9.9205,0.77128909
2035-11-05,10.0055,0.76935396
