maturity_date,years,fwd_3m_%
2025-12-05,0.0822,2.118552
2026-01-05,0.1671,2.188969
2026-02-05,0.2521,2.250513
2026-03-05,0.3288,2.187967
2026-04-07,0.4192,2.107901
2026-05-05,0.4959,2.038601
2026-06-05,0.5808,2.033819
2026-07-06,0.6658,2.033704
2026-08-05,0.7479,2.033704
2026-09-07,0.8384,2.056481
2026-10-05,0.9151,2.079686
2026-11-05,1.0,2.104695
2026-12-07,1.0877,2.107861
2027-01-05,1.1671,2.107799
2027-02-05,1.2521,2.107738
2027-03-05,1.3288,2.108046
2027-04-05,1.4137,2.107861
2027-05-05,1.4959,2.107922
2027-06-07,1.5863,2.107922
2027-07-05,1.663,2.107922
2027-08-05,1.7479,2.107922
2027-09-06,1.8356,2.149103
2027-10-05,1.9151,2.192434
2027-11-05,2.0,2.237843
2027-12-06,2.0849,2.241914
2028-01-05,2.1671,2.241914
2028-02-07,2.2575,2.241914
2028-03-06,2.3342,2.241984
2028-04-05,2.4164,2.241914
2028-05-05,2.4986,2.242123
2028-06-05,2.5836,2.241984
2028-07-05,2.6658,2.241984
2028-08-07,2.7562,2.241984
2028-09-05,2.8356,2.321614
2028-10-05,2.9178,2.408126
2028-11-06,3.0055,2.498267
2028-12-05,3.0849,2.50091
2029-01-05,3.1699,2.50091
2029-02-05,3.2548,2.500997
2029-03-05,3.3315,2.501084
2029-04-05,3.4164,2.500997
2029-05-07,3.5041,2.501084
2029-06-05,3.5836,2.501084
2029-07-05,3.6658,2.501084
2029-08-06,3.7534,2.501084
2029-09-05,3.8356,2.524964
2029-10-05,3.9178,2.551818
2029-11-05,4.0027,2.577295
2029-12-05,4.0849,2.578804
2030-01-07,4.1753,2.578896
2030-02-05,4.2548,2.578804
2030-03-05,4.3315,2.578988
2030-04-05,4.4164,2.578896
2030-05-06,4.5014,2.578988
2030-06-05,4.5836,2.578988
2030-07-05,4.6658,2.579173
2030-08-05,4.7507,2.578988
2030-09-05,4.8356,2.617532
2030-10-07,4.9233,2.662255
2030-11-05,5.0027,2.701847
2030-12-05,5.0849,2.704374
2031-01-06,5.1726,2.704476
2031-02-05,5.2548,2.704273
2031-03-05,5.3315,2.704577
2031-04-07,5.4219,2.704476
2031-05-05,5.4986,2.704577
2031-06-05,5.5836,2.704577
2031-07-07,5.6712,2.704577
2031-08-05,5.7507,2.704577
2031-09-05,5.8356,2.742394
2031-10-06,5.9205,2.784958
2031-11-05,6.0027,2.825154
2031-12-05,6.0849,2.827723
2032-01-05,6.1699,2.827723
2032-02-05,6.2548,2.827612
2032-03-05,6.3342,2.828055
2032-04-05,6.4192,2.827723
2032-05-05,6.5014,2.827834
2032-06-07,6.5918,2.827834
2032-07-05,6.6685,2.827834
2032-08-05,6.7534,2.827834
2032-09-06,6.8411,2.85988
2032-10-05,6.9205,2.893728
2032-11-05,7.0055,2.929263
2032-12-06,7.0904,2.932242
2033-01-05,7.1726,2.932123
2033-02-07,7.263,2.932242
2033-03-07,7.3397,2.932361
2033-04-05,7.4192,2.932242
2033-05-05,7.5014,2.932361
2033-06-06,7.589,2.932361
2033-07-05,7.6685,2.932361
2033-08-05,7.7534,2.9326
2033-09-05,7.8384,2.966578
2033-10-05,7.9205,3.003934
2033-11-07,8.011,3.043971
2033-12-05,8.0877,3.043843
2034-01-05,8.1726,3.043715
2034-02-06,8.2603,3.043843
2034-03-06,8.337,3.043971
2034-04-05,8.4192,3.043843
2034-05-05,8.5014,3.044228
2034-06-05,8.5863,3.043971
2034-07-05,8.6685,3.043971
2034-08-07,8.7589,3.043971
2034-09-05,8.8384,3.008218
2034-10-05,8.9205,2.969717
2034-11-06,9.0082,2.929449
2034-12-05,9.0877,2.927954
2035-01-05,9.1726,2.927954
2035-02-05,9.2575,2.928072
2035-03-05,9.3342,2.928191
2035-04-05,9.4192,2.928072
2035-05-07,9.5068,2.928191
2035-06-05,9.5863,2.928191
2035-07-05,9.6685,2.928191
2035-08-06,9.7562,2.928191
2035-09-05,9.8384,2.928072
2035-10-05,9.9205,2.928429
2035-11-05,10.0055,2.928191
