maturity_date,years,zero_rate_cc_%,zero_rate_ann_%
2025-12-05,0.0822,1.939246,1.958172
2026-01-05,0.1671,2.014549,2.034978
2026-02-05,0.2521,2.043365,2.064385
2026-03-05,0.3288,2.094124,2.116204
2026-04-07,0.4192,2.135573,2.15854
2026-05-05,0.4959,2.158757,2.182227
2026-06-05,0.5808,2.145842,2.169031
2026-07-06,0.6658,2.134364,2.157305
2026-08-05,0.7479,2.125757,2.148512
2026-09-07,0.8384,2.118251,2.140845
2026-10-05,0.9151,2.113052,2.135535
2026-11-05,1.0,2.108232,2.130612
2026-12-07,1.0877,2.109356,2.13176
2027-01-05,1.1671,2.110868,2.133305
2027-02-05,1.2521,2.112271,2.134738
2027-03-05,1.3288,2.113384,2.135874
2027-04-05,1.4137,2.114474,2.136988
2027-05-05,1.4959,2.115411,2.137945
2027-06-07,1.5863,2.116329,2.138882
2027-07-05,1.663,2.11703,2.139598
2027-08-05,1.7479,2.117733,2.140316
2027-09-06,1.8356,2.118391,2.140988
2027-10-05,1.9151,2.118935,2.141544
2027-11-05,2.0,2.119468,2.142089
2027-12-06,2.0849,2.124945,2.147683
2028-01-05,2.1671,2.130332,2.153186
2028-02-07,2.2575,2.135804,2.158776
2028-03-06,2.3342,2.140114,2.163179
2028-04-05,2.4164,2.144427,2.167585
2028-05-05,2.4986,2.148456,2.171702
2028-06-05,2.5836,2.152349,2.175679
2028-07-05,2.6658,2.15588,2.179287
2028-08-07,2.7562,2.159521,2.183007
2028-09-05,2.8356,2.162528,2.18608
2028-10-05,2.9178,2.165466,2.189082
2028-11-06,3.0055,2.168422,2.192104
2028-12-05,3.0849,2.177461,2.201341
2029-01-05,3.1699,2.186863,2.21095
2029-02-05,3.2548,2.195773,2.220058
2029-03-05,3.3315,2.20343,2.227885
2029-04-05,3.4164,2.211505,2.23614
2029-05-07,3.5041,2.21943,2.244243
2029-06-05,3.5836,2.226276,2.251243
2029-07-05,3.6658,2.233046,2.258165
2029-08-06,3.7534,2.23994,2.265215
2029-09-05,3.8356,2.246116,2.271531
2029-10-05,3.9178,2.252033,2.277582
2029-11-05,4.0027,2.257891,2.283574
2029-12-05,4.0849,2.264804,2.290645
2030-01-07,4.1753,2.272207,2.298218
2030-02-05,4.2548,2.278452,2.304607
2030-03-05,4.3315,2.284264,2.310553
2030-04-05,4.4164,2.290464,2.316896
2030-05-06,4.5014,2.296429,2.323
2030-06-05,4.5836,2.301991,2.328691
2030-07-05,4.6658,2.307356,2.334182
2030-08-05,4.7507,2.312706,2.339656
2030-09-05,4.8356,2.317867,2.344938
2030-10-07,4.9233,2.323008,2.3502
2030-11-05,5.0027,2.327511,2.354809
2030-12-05,5.0849,2.333931,2.36138
2031-01-06,5.1726,2.340697,2.368306
2031-02-05,5.2548,2.346835,2.37459
2031-03-05,5.3315,2.352393,2.38028
2031-04-07,5.4219,2.358741,2.386779
2031-05-05,5.4986,2.363963,2.392126
2031-06-05,5.5836,2.369578,2.397875
2031-07-07,5.6712,2.375197,2.403629
2031-08-05,5.7507,2.380141,2.408692
2031-09-05,5.8356,2.385277,2.413952
2031-10-06,5.9205,2.390266,2.419061
2031-11-05,6.0027,2.394959,2.423868
2031-12-05,6.0849,2.401091,2.430149
2032-01-05,6.1699,2.407369,2.436581
2032-02-05,6.2548,2.413477,2.442838
2032-03-05,6.3342,2.419043,2.448539
2032-04-05,6.4192,2.42484,2.454478
2032-05-05,6.5014,2.430305,2.460078
2032-06-07,6.5918,2.43616,2.466077
2032-07-05,6.6685,2.441003,2.471039
2032-08-05,6.7534,2.446236,2.476402
2032-09-06,6.8411,2.451502,2.481798
2032-10-05,6.9205,2.456159,2.486571
2032-11-05,7.0055,2.46102,2.491553
2032-12-06,7.0904,2.466903,2.497583
2033-01-05,7.1726,2.472581,2.503403
2033-02-07,7.263,2.478678,2.509653
2033-03-07,7.3397,2.483733,2.514835
2033-04-05,7.4192,2.488859,2.52009
2033-05-05,7.5014,2.494047,2.525408
2033-06-06,7.589,2.499457,2.530955
2033-07-05,7.6685,2.504253,2.535872
2033-08-05,7.7534,2.50927,2.541018
2033-09-05,7.8384,2.514179,2.546051
2033-10-05,7.9205,2.51883,2.55082
2033-11-07,8.011,2.523835,2.555953
2033-12-05,8.0877,2.52906,2.561312
2034-01-05,8.1726,2.53473,2.567127
2034-02-06,8.2603,2.54046,2.573005
2034-03-06,8.337,2.545376,2.578047
2034-04-05,8.4192,2.550543,2.583347
2034-05-05,8.5014,2.55561,2.588545
2034-06-05,8.5863,2.560744,2.593812
2034-07-05,8.6685,2.565616,2.598811
2034-08-07,8.7589,2.57087,2.604202
2034-09-05,8.8384,2.575399,2.608849
2034-10-05,8.9205,2.579998,2.613568
2034-11-06,9.0082,2.584812,2.618508
2034-12-05,9.0877,2.58811,2.621893
2035-01-05,9.1726,2.591535,2.625408
2035-02-05,9.2575,2.594898,2.628858
2035-03-05,9.3342,2.597882,2.631921
2035-04-05,9.4192,2.601129,2.635254
2035-05-07,9.5068,2.60442,2.638632
2035-06-05,9.5863,2.607351,2.64164
2035-07-05,9.6685,2.610332,2.644699
2035-08-06,9.7562,2.613456,2.647906
2035-09-05,9.8384,2.616335,2.650861
2035-10-05,9.9205,2.619165,2.653767
2035-11-05,10.0055,2.622041,2.656719
