payment_date,sigma_norm_bps,weight_alpha_df
2026-05-07,27.48,0.4974208
2026-11-09,27.48,0.50583258
2027-05-07,43.579472,0.48173393
2027-11-08,48.35334,0.49253162
2028-05-08,66.805803,0.47909906
2028-11-07,66.805803,0.47628796
2029-05-07,67.018279,0.46521452
2029-11-07,67.018279,0.46693717
2030-05-07,70.313963,0.45342594
2030-11-07,70.313963,0.45492494
2031-05-07,71.982747,0.44148431
2031-11-07,71.982747,0.44266149
2032-05-07,72.90769,0.43165706
2032-11-08,72.90769,0.43246478
2033-05-09,73.061189,0.41921433
2033-11-07,73.061189,0.41306826
2034-05-08,72.577287,0.40678445
2034-11-07,72.577287,0.40276339
2035-05-07,71.975753,0.39256128
2035-11-07,71.975753,0.39316163
