period,start,end,reset,alpha_30_360,forward_3m,sigma_norm,caplet_pv,floorlet_pv
7,2025-12-12,2026-03-12,2025-12-10,0.25,0.021382063728963452,0.002748,3.6221388802852835e-52,1.6789780992095224e-141
8,2026-03-12,2026-06-12,2026-03-10,0.25,0.021708240458449185,0.002748,6.256604168262773e-16,3.69265869022583e-43
9,2026-06-12,2026-09-14,2026-06-10,0.25555555555555554,0.02033819154291149,0.002748,5.872931185587144e-12,3.5145676604999745e-23
10,2026-09-14,2026-12-14,2026-09-10,0.25,0.020621891982112502,0.002748,9.269729085154999e-09,2.0384536919428758e-17
11,2026-12-14,2027-03-12,2026-12-10,0.24444444444444444,0.021076759993856106,0.004357947212385502,0.0011284088686976973,6.648776828948011e-07
12,2027-03-12,2027-06-14,2027-03-10,0.25555555555555554,0.02108045599957818,0.004357947212385502,0.0032027486128121093,6.476764600402375e-06
13,2027-06-14,2027-09-13,2027-06-10,0.24722222222222223,0.021078607888752637,0.004835334017434732,0.01395807056893361,0.00016406612910384563
14,2027-09-13,2027-12-13,2027-09-09,0.25,0.021594144086905867,0.004835334017434732,0.027838532249303344,0.00033343198648444163
15,2027-12-13,2028-03-13,2027-12-09,0.25,0.02241914100687889,0.006680580282921991,0.2043008048625113,0.012710654666099415
16,2028-03-13,2028-06-12,2028-03-09,0.24722222222222223,0.022419141006878012,0.006680580282921991,0.2429453604783448,0.01908502158513577
17,2028-06-12,2028-09-12,2028-06-08,0.25,0.022419837786738436,0.006680580282921991,0.2872804130083836,0.027298898904352758
18,2028-09-12,2028-12-12,2028-09-08,0.25,0.023415414448857128,0.006680580282921991,0.38920300195642105,0.028911740987781154
19,2028-12-12,2029-03-12,2028-12-08,0.25,0.025009104004497296,0.006701827930709184,0.5566842843571375,0.026666960000601935
20,2029-03-12,2029-06-12,2029-03-08,0.25,0.02501083785079985,0.006701827930709184,0.604391837043503,0.03427098380076022
21,2029-06-12,2029-09-12,2029-06-08,0.25,0.02501083785079985,0.006701827930709184,0.6515879170722826,0.04295384588308077
22,2029-09-12,2029-12-12,2029-09-10,0.25,0.02530956476574355,0.006701827930709184,0.725497539205634,0.049656641812631665
23,2029-12-12,2030-03-12,2029-12-10,0.25,0.02578804014844316,0.007031396281852558,0.8964108315741888,0.0714826971655643
24,2030-03-12,2030-06-12,2030-03-08,0.25,0.02578988356531485,0.007031396281852558,0.941002041254597,0.08301704224185005
25,2030-06-12,2030-09-12,2030-06-10,0.25,0.02578988356531485,0.007031396281852558,0.9871585593812567,0.09602728523452654
26,2030-09-12,2030-12-12,2030-09-10,0.25,0.026271913684177164,0.007031396281852558,1.0822278147642288,0.10135843327070858
27,2030-12-12,2031-03-12,2030-12-10,0.25,0.027043744958058724,0.007198274702286676,1.2592870825143685,0.11444047666374944
28,2031-03-12,2031-06-12,2031-03-10,0.25,0.027045772063334847,0.007198274702286676,1.3004334335317096,0.12766425759397934
29,2031-06-12,2031-09-12,2031-06-10,0.25,0.027045772063333976,0.007198274702286676,1.3408589589639914,0.1416013304424689
30,2031-09-12,2031-12-12,2031-09-10,0.25,0.0275187405230873,0.007198274702286676,1.4366405980566859,0.14628044926150335
31,2031-12-12,2032-03-12,2031-12-10,0.25,0.02827722910486443,0.007290768964859332,1.5978048268174339,0.15382250167914452
32,2032-03-12,2032-06-14,2032-03-10,0.25555555555555554,0.028280553129013283,0.007290768964859332,1.6698721202910252,0.17112272441668033
33,2032-06-14,2032-09-13,2032-06-10,0.24722222222222223,0.02827722910486443,0.007290768964859332,1.6494196553784932,0.17950811845522038
34,2032-09-13,2032-12-13,2032-09-09,0.25,0.028679194479617906,0.007290768964859332,1.752667275027134,0.18640764915038854
35,2032-12-13,2033-03-14,2032-12-09,0.25277777777777777,0.02932242343115849,0.007306118868168487,1.8949998437729536,0.18943002514944546
36,2033-03-14,2033-06-13,2033-03-10,0.24722222222222223,0.029322423431157613,0.007306118868168487,1.8826640887675752,0.19840257743503956
37,2033-06-13,2033-09-12,2033-06-09,0.24722222222222223,0.02932242343115849,0.007306118868168487,1.9107684696605445,0.2116293531751615
38,2033-09-12,2033-12-12,2033-09-08,0.25,0.029751619739493848,0.007306118868168487,2.0169693092850927,0.217007503145005
39,2033-12-12,2034-03-13,2033-12-08,0.25277777777777777,0.030438429975547947,0.007257728699916028,2.142579509091718,0.20992201841883812
40,2034-03-13,2034-06-12,2034-03-09,0.24722222222222223,0.030438429975547947,0.007257728699916028,2.1188383154221717,0.21744516890199375
