date,time_yrs,surv_prob,marginal_pd,expected_exposure,cva_contribution
2025-12-12,0.10137,0.99873368,0.00126632,1119.3192,0.85045
2026-03-12,0.347945,0.99566013,0.00307355,1111.2184,2.049231
2026-06-12,0.6,0.99252805,0.00313207,1102.727,2.072294
2026-09-14,0.857534,0.98933807,0.00318999,1094.1536,2.094202
2026-12-14,1.106849,0.98625966,0.00307841,1085.9862,2.005868
2027-03-12,1.347945,0.98329184,0.00296782,1077.9269,1.919453
2027-06-14,1.605479,0.98013154,0.0031603,1069.9142,2.028751
2027-09-13,1.854795,0.97708177,0.00304976,1061.5816,1.942545
2027-12-13,2.10411,0.9740415,0.00304028,1053.5642,1.921875
2028-03-13,2.353425,0.97101068,0.00303082,1045.3035,1.900873
2028-06-12,2.60274,0.9679893,0.00302138,1036.7756,1.879499
2028-09-12,2.854795,0.96494427,0.00304503,1028.3899,1.878887
2028-12-12,3.10411,0.96194176,0.00300251,1019.958,1.837459
2029-03-12,3.350685,0.95898144,0.00296032,1011.2035,1.796094
2029-06-12,3.60274,0.95596474,0.00301669,1001.9113,1.813476
2029-09-12,3.854795,0.95295754,0.0030072,992.6774,1.79111
2029-12-12,4.10411,0.94999233,0.00296521,983.5022,1.749775
2030-03-12,4.350685,0.94706878,0.00292355,974.2765,1.709008
2030-06-12,4.60274,0.94408956,0.00297922,964.9365,1.724855
2030-09-12,4.854795,0.94111971,0.00296985,955.657,1.702894
2030-12-12,5.10411,0.93819133,0.00292838,946.4383,1.662916
2031-03-12,5.350685,0.9353041,0.00288723,937.1093,1.623392
2031-06-12,5.60274,0.93236189,0.00294221,927.5706,1.637465
2031-09-12,5.854795,0.92942893,0.00293296,918.0967,1.615642
2031-12-12,6.10411,0.92653693,0.002892,908.6879,1.576755
2032-03-12,6.353425,0.92365393,0.002883,899.1806,1.555403
2032-06-14,6.610959,0.92068531,0.00296863,889.4807,1.584321
2032-09-13,6.860274,0.91782052,0.00286479,879.6367,1.511986
2032-12-13,7.109589,0.91496464,0.00285588,870.1824,1.491081
2033-03-14,7.358904,0.91211764,0.00284699,860.5557,1.469997
2033-06-13,7.608219,0.90927951,0.00283813,850.677,1.448601
2033-09-12,7.857534,0.90645021,0.0028293,841.0865,1.427813
2033-12-12,8.106849,0.90362971,0.0028205,831.5666,1.40726
2034-03-13,8.356164,0.90081799,0.00281172,821.8717,1.386525
2034-06-12,8.605479,0.89801501,0.00280297,811.9193,1.365473
