period,start,end,reset,euribor,coupon_rate,cashflow_eur,df,pv_eur,is_paid
1,2024-06-12,2024-09-12,2024-06-10,0.03743,0.0545,13.625,0.0,0.0,True
2,2024-09-12,2024-12-12,2024-09-10,0.0346,0.0545,13.625,0.0,0.0,True
3,2024-12-12,2025-03-12,2024-12-10,0.02872,0.045952,11.488,0.0,0.0,True
4,2025-03-12,2025-06-12,2025-03-10,0.02547,0.040752,10.188,0.0,0.0,True
5,2025-06-12,2025-09-12,2025-06-10,0.01954,0.031264,7.816,0.0,0.0,True
6,2025-09-12,2025-12-12,2025-09-10,0.02029,0.032464,8.116,0.99812501,8.1008,False
7,2025-12-12,2026-03-12,2025-12-10,0.021382,0.034211,8.5528,0.99281789,8.4914,False
8,2026-03-12,2026-06-12,2026-03-10,0.021708,0.034733,8.6833,0.98734045,8.5734,False
9,2026-06-12,2026-09-14,2026-06-10,0.020338,0.032541,8.3161,0.98212485,8.1674,False
10,2026-09-14,2026-12-14,2026-09-10,0.020622,0.032995,8.2488,0.97703183,8.0593,False
11,2026-12-14,2027-03-12,2026-12-10,0.021077,0.033723,8.2434,0.97202386,8.0127,False
12,2027-03-12,2027-06-14,2027-03-10,0.02108,0.033729,8.6196,0.9667028,8.3326,False
13,2027-06-14,2027-09-13,2027-06-10,0.021079,0.033726,8.3378,0.96157931,8.0174,False
14,2027-09-13,2027-12-13,2027-09-09,0.021594,0.034551,8.6377,0.95635901,8.2607,False
15,2027-12-13,2028-03-13,2027-12-09,0.022419,0.035871,8.9677,0.9509698,8.528,False
16,2028-03-13,2028-06-12,2028-03-09,0.022419,0.035871,8.868,0.94561097,8.3857,False
17,2028-06-12,2028-09-12,2028-06-08,0.02242,0.035872,8.9679,0.94022394,8.4319,False
18,2028-09-12,2028-12-12,2028-09-08,0.023415,0.037465,9.3662,0.9346916,8.7545,False
19,2028-12-12,2029-03-12,2028-12-08,0.025009,0.040015,10.0036,0.92888396,9.2922,False
20,2029-03-12,2029-06-12,2029-03-08,0.025011,0.040017,10.0043,0.92298456,9.2338,False
21,2029-06-12,2029-09-12,2029-06-08,0.025011,0.040017,10.0043,0.91712262,9.1752,False
22,2029-09-12,2029-12-12,2029-09-10,0.02531,0.040495,10.1238,0.91129245,9.2258,False
23,2029-12-12,2030-03-12,2029-12-10,0.025788,0.041261,10.3152,0.90545497,9.34,False
24,2030-03-12,2030-06-12,2030-03-08,0.02579,0.041264,10.316,0.89952642,9.2795,False
25,2030-06-12,2030-09-12,2030-06-10,0.02579,0.041264,10.316,0.89363669,9.2187,False
26,2030-09-12,2030-12-12,2030-09-10,0.026272,0.042035,10.5088,0.88774124,9.3291,False
27,2030-12-12,2031-03-12,2030-12-10,0.027044,0.04327,10.8175,0.88177958,9.5386,False
28,2031-03-12,2031-06-12,2031-03-10,0.027046,0.043273,10.8183,0.87572682,9.4739,False
29,2031-06-12,2031-09-12,2031-06-10,0.027046,0.043273,10.8183,0.86971561,9.4089,False
30,2031-09-12,2031-12-12,2031-09-10,0.027519,0.04403,11.0075,0.86370755,9.5073,False
31,2031-12-12,2032-03-12,2031-12-10,0.028277,0.045244,11.3109,0.85757771,9.7,False
32,2032-03-12,2032-06-14,2032-03-10,0.028281,0.045249,11.5636,0.85129146,9.844,False
33,2032-06-14,2032-09-13,2032-06-10,0.028277,0.045244,11.1852,0.84524974,9.4543,False
34,2032-09-13,2032-12-13,2032-09-09,0.028679,0.045887,11.4717,0.83916624,9.6266,False
35,2032-12-13,2033-03-14,2032-12-09,0.029322,0.046916,11.8593,0.83299205,9.8787,False
36,2033-03-14,2033-06-13,2033-03-10,0.029322,0.046916,11.5986,0.82686329,9.5905,False
37,2033-06-13,2033-09-12,2033-06-09,0.029322,0.046916,11.5986,0.82077963,9.5199,False
38,2033-09-12,2033-12-12,2033-09-08,0.029752,0.047603,11.9006,0.81465299,9.6949,False
39,2033-12-12,2034-03-13,2033-12-08,0.030438,0.048701,12.3107,0.80843278,9.9523,False
40,2034-03-13,2034-06-12,2034-03-09,0.030438,0.048701,12.0401,0.80226007,9.6593,False
41,2034-06-12,2034-06-12,2034-06-12,0.0,0.0,1000.0,0.80226007,802.2601,False
