Date,1W,1M,3M,6M,12M
2024-05-01,3.802,3.873,3.825,3.795,3.696
2024-05-02,3.858,3.877,3.853,3.828,3.728
2024-05-03,3.893,3.865,3.827,3.802,3.693
2024-05-06,3.886,3.852,3.824,3.791,3.658
2024-05-07,3.868,3.875,3.788,3.802,3.647
2024-05-08,3.882,3.87,3.814,3.795,3.642
2024-05-09,3.878,3.862,3.806,3.802,3.628
2024-05-10,3.892,3.856,3.818,3.789,3.629
2024-05-13,3.895,3.828,3.828,3.8,3.654
2024-05-14,3.888,3.838,3.824,3.799,3.638
2024-05-15,3.872,3.83,3.816,3.798,3.679
2024-05-16,3.885,3.817,3.826,3.795,3.65
2024-05-17,3.875,3.799,3.83,3.791,3.645
2024-05-20,3.883,3.807,3.822,3.787,3.673
2024-05-21,3.894,3.785,3.823,3.784,3.68
2024-05-22,3.893,3.797,3.819,3.784,3.67
2024-05-23,3.875,3.805,3.801,3.783,3.702
2024-05-24,3.881,3.792,3.808,3.78,3.729
2024-05-27,3.863,3.792,3.8,3.775,3.74
2024-05-28,3.879,3.764,3.785,3.749,3.722
2024-05-29,3.869,3.772,3.794,3.768,3.716
2024-05-30,3.892,3.75,3.788,3.759,3.729
2024-05-31,3.889,3.717,3.785,3.745,3.711
2024-06-03,3.828,3.69,3.782,3.755,3.722
2024-06-04,3.83,3.666,3.772,3.756,3.715
2024-06-05,3.812,3.676,3.752,3.738,3.69
2024-06-06,3.848,3.688,3.755,3.744,3.684
2024-06-07,3.794,3.679,3.759,3.735,3.701
2024-06-10,3.716,3.654,3.743,3.748,3.725
2024-06-11,3.717,3.613,3.739,3.751,3.728
2024-06-12,3.65,3.63,3.72,3.748,3.719
2024-06-13,3.615,3.599,3.719,3.743,3.678
2024-06-14,3.626,3.579,3.715,3.735,3.672
2024-06-17,3.641,3.602,3.711,3.711,3.628
2024-06-18,3.612,3.606,3.717,3.695,3.6
2024-06-19,3.59,3.608,3.712,3.695,3.613
2024-06-20,3.648,3.598,3.7,3.689,3.608
2024-06-21,3.622,3.6,3.686,3.691,3.622
2024-06-24,3.619,3.622,3.682,3.661,3.58
2024-06-25,3.616,3.642,3.698,3.671,3.578
2024-06-26,3.607,3.646,3.722,3.672,3.576
2024-06-27,3.618,3.664,3.695,3.678,3.575
2024-06-28,3.612,3.632,3.711,3.682,3.578
2024-07-01,3.641,3.655,3.709,3.678,3.567
2024-07-02,3.63,3.654,3.714,3.676,3.589
2024-07-03,3.608,3.635,3.705,3.678,3.596
2024-07-04,3.608,3.624,3.708,3.683,3.592
2024-07-05,3.607,3.635,3.712,3.678,3.588
2024-07-08,3.605,3.628,3.699,3.675,3.599
2024-07-09,3.608,3.615,3.708,3.668,3.593
2024-07-10,3.608,3.598,3.704,3.683,3.602
2024-07-11,3.609,3.611,3.685,3.676,3.595
2024-07-12,3.61,3.625,3.664,3.662,3.564
2024-07-15,3.595,3.572,3.662,3.635,3.522
2024-07-16,3.589,3.583,3.674,3.634,3.506
2024-07-17,3.597,3.601,3.678,3.62,3.503
2024-07-18,3.626,3.633,3.688,3.624,3.503
2024-07-19,3.622,3.626,3.698,3.633,3.502
2024-07-22,3.612,3.63,3.705,3.641,3.511
2024-07-23,3.579,3.618,3.685,3.642,3.508
2024-07-24,3.579,3.598,3.698,3.652,3.528
2024-07-25,3.624,3.604,3.686,3.619,3.481
2024-07-26,3.642,3.621,3.655,3.591,3.426
2024-07-29,3.595,3.596,3.636,3.59,3.425
2024-07-30,3.643,3.611,3.631,3.585,3.406
2024-07-31,3.607,3.63,3.647,3.579,3.39
2024-08-01,3.642,3.606,3.638,3.563,3.349
2024-08-02,3.645,3.611,3.623,3.553,3.32
2024-08-05,3.62,3.569,3.584,3.494,3.238
2024-08-06,3.628,3.558,3.523,3.397,3.138
2024-08-07,3.626,3.594,3.569,3.462,3.192
2024-08-08,3.619,3.592,3.577,3.488,3.202
2024-08-09,3.642,3.618,3.557,3.437,3.176
2024-08-12,3.63,3.625,3.548,3.445,3.191
2024-08-13,3.649,3.635,3.542,3.441,3.18
2024-08-14,3.609,3.606,3.542,3.398,3.148
2024-08-15,3.605,3.599,3.549,3.375,3.117
2024-08-16,3.621,3.595,3.56,3.367,3.139
2024-08-19,3.652,3.584,3.551,3.408,3.183
2024-08-20,3.628,3.587,3.538,3.407,3.159
2024-08-21,3.605,3.596,3.542,3.41,3.162
2024-08-22,3.625,3.608,3.541,3.408,3.133
2024-08-23,3.635,3.595,3.525,3.382,3.102
2024-08-26,3.631,3.583,3.523,3.401,3.116
2024-08-27,3.622,3.584,3.515,3.385,3.095
2024-08-28,3.609,3.592,3.505,3.391,3.119
2024-08-29,3.606,3.602,3.505,3.376,3.108
2024-08-30,3.623,3.589,3.49,3.36,3.088
2024-09-02,3.608,3.588,3.469,3.351,3.072
2024-09-03,3.619,3.561,3.458,3.381,3.113
2024-09-04,3.602,3.536,3.449,3.379,3.094
2024-09-05,3.614,3.542,3.47,3.364,3.053
2024-09-06,3.608,3.521,3.468,3.346,3.025
2024-09-09,3.628,3.51,3.462,3.307,2.986
2024-09-10,3.64,3.489,3.46,3.293,2.97
2024-09-11,3.587,3.444,3.467,3.276,2.96
